index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
14898,MUSC 60A,Music 60A,M,06:00 pm,07:50 pm,SMB,B00648,"Smolen, B.M.",
14899,MUSC 60B,Music 60B,VAR,12:00 am,12:00 am,,,"Davis, J.D.",
14900,MUSC 60B,Music 60B,M,06:00 pm,07:50 pm,SMB,01420,"Davis, J.D.",
14901,MUSC 60C,Music 60C,VAR,12:00 am,12:00 am,,,"Steinmetz, J.A.",
14902,MUSC 60C,Music 60C,W,06:00 pm,07:50 pm,SMB,B00648,"Steinmetz, J.A.",
14903,MUSC 60D,Music 60D,M,07:00 pm,08:50 pm,SMB,01325,"Ranz, J.H.",
14904,MUSC 60D,Music 60D,VAR,12:00 am,12:00 am,,,"Allakhverdyan, B.V",
14905,MUSC 60E,Music 60E,VAR,12:00 am,12:00 am,,,"Berry Baker, J.N.",
14906,MUSC 60E,Music 60E,T,03:00 pm,04:30 pm,SMB,01344,"Berry Baker, J.N.",
14907,MUSC 60F,Music 60F,VAR,12:00 am,12:00 am,,,"Sanchez, A.",
14908,MUSC 60F,Music 60F,T,07:00 pm,08:50 pm,SMB,01325,"Sanchez, A.",
14909,MUSC 60G,Music 60G,VAR,12:00 am,12:00 am,,,"Washburn, D.W.",
14910,MUSC 60G,Music 60G,M,07:00 pm,09:50 pm,SMB,B00425,"Washburn, D.W.",
14911,MUSC 60G,Music 60G,M,08:00 pm,09:50 pm,SMB,01439,"Washburn, D.W.",
14912,MUSC 60H,Music 60H,VAR,12:00 am,12:00 am,,,"Miller, J.T.",
14913,MUSC 60H,Music 60H,M,01:00 pm,02:50 pm,SMB,01343,"Miller, J.T.",
14914,MUSC 60I,Music 60I,VAR,12:00 am,12:00 am,SMB,,"Foard, A.D.",
14915,MUSC 60J,Music 60J,VAR,12:00 am,12:00 am,,,"Dimond, T.A.",
14916,MUSC 60J,Music 60J,VAR,12:00 am,12:00 am,,,"Goodall, G.S.",
14917,MUSC 60J,Music 60J,T,07:00 pm,08:50 pm,SMB,01345,"Goodall, G.S.",
14918,MUSC 60K,Music 60K,VAR,12:00 am,12:00 am,,,"Pogossian, M.",
14919,MUSC 60K,Music 60K,W,07:30 pm,09:20 pm,SMB,01325,"Pogossian, M.",
14920,MUSC 60K,Music 60K,VAR,12:00 am,12:00 am,,,"Manouelian, V.H.",
14921,MUSC 60K,Music 60K,,,,,,"Manouelian, V.H.",
14922,MUSC 60K,Music 60K,VAR,12:00 am,12:00 am,,,"An, J.",
14923,MUSC 60L,Music 60L,VAR,12:00 am,12:00 am,,,"Chen, C.B.",
14924,MUSC 60L,Music 60L,W,05:00 pm,06:50 pm,OSTIN,00110A,"Chen, C.B.",
14925,MUSC 60M,Music 60M,VAR,12:00 am,12:00 am,,,"Hong, B.",
14926,MUSC 60M,Music 60M,M,01:00 pm,01:50 pm,SMB,01325,"Hong, B.",
14927,MUSC 60M,Music 60M,VAR,12:00 am,12:00 am,,,"Koo, S.",
14928,MUSC 60N,Music 60N,VAR,12:00 am,12:00 am,,,"Hanulik, C.",
14929,MUSC 60N,Music 60N,M,05:00 pm,05:50 pm,SMB,B00648,"Hanulik, C.",
14930,MUSC 60O,Music 60O,VAR,12:00 am,12:00 am,SMB,,"Neill, L.A.",
14931,MUSC 60P,Music 60P,VAR,12:00 am,12:00 am,,,"Gogoncea, M.",
14932,MUSC 60P,Music 60P,R,01:00 pm,05:50 pm,SMB,B00686,"Gogoncea, M.",
14933,MUSC 60S,Music 60S,VAR,12:00 am,12:00 am,,,"Faliks, I.; Xing, B.E.",
14934,MUSC 60S,Music 60S,VAR,12:00 am,12:00 am,,,"Kaplan, D.",
14935,MUSC 60S,Music 60S,VAR,12:00 am,12:00 am,,,"Xing, B.E.; Faliks, I.",
14936,MUSC 60S,Music 60S,VAR,12:00 am,12:00 am,,,"Stern, V.M.",
14937,MUSC 60T,Music 60T,VAR,12:00 am,12:00 am,,,"Bull, C.",
14938,MUSC 60T,Music 60T,,,,,,"Bull, C.",
14939,MUSC 61A,Music 61A,VAR,12:00 am,12:00 am,,,"Dean, M.E.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 61B', 'Music 61C']}]}, 'corequisites': None}"
14940,MUSC 61A,Music 61A,VAR,12:00 am,12:00 am,,,"Gondek, J.K.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 61B', 'Music 61C']}]}, 'corequisites': None}"
14941,MUSC 61A,Music 61A,VAR,12:00 am,12:00 am,,,"Chernov, V.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 61B', 'Music 61C']}]}, 'corequisites': None}"
14942,MUSC 61A,Music 61A,,,,,,"Yates, L.T.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 61B', 'Music 61C']}]}, 'corequisites': None}"
14943,MUSC 61B,Music 61B,VAR,12:00 am,12:00 am,,,"Kirsch, V.H.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 61A']}, 'corequisites': None}"
14944,MUSC 61B,Music 61B,VAR,12:00 am,12:00 am,,,"Fielding, C.L.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 61A']}, 'corequisites': None}"
14945,MUSC 61B,Music 61B,VAR,12:00 am,12:00 am,,,"Caldwell, W.L.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 61A']}, 'corequisites': None}"
14946,MUSC 61B,Music 61B,VAR,12:00 am,12:00 am,,,"Malkin, I.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 61A']}, 'corequisites': None}"
14947,MUSC 61B,Music 61B,VAR,12:00 am,12:00 am,,,"Yates, L.T.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 61A']}, 'corequisites': None}"
14948,MUSC 61C,Music 61C,VAR,12:00 am,12:00 am,,,"Malkin, I.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 61A']}, 'corequisites': None}"
14949,MUSC 66,Music 66,VAR,12:00 am,12:00 am,,,"Lefkowitz, D.S.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20A', 'Music 20B', 'Music 20C']}, 'corequisites': None}"
14950,MUSC 66,Music 66,VAR,12:00 am,12:00 am,,,"Golub, P.R.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20A', 'Music 20B', 'Music 20C']}, 'corequisites': None}"
14951,MUSC 66,Music 66,VAR,12:00 am,12:00 am,,,"Rhie, K.K.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20A', 'Music 20B', 'Music 20C']}, 'corequisites': None}"
14952,MUSC 66,Music 66,VAR,12:00 am,12:00 am,,,"Krouse, I.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20A', 'Music 20B', 'Music 20C']}, 'corequisites': None}"
14953,MUSC 74A,Music 74A,F,03:00 pm,04:50 pm,SMB,01345,"Yates, L.T.",
14954,MUSC M90T,Music M90T,T,07:00 pm,09:50 pm,SMB,B00429,"Winkle, M.D.; Risigari Gai Lopez",
14955,MUSC M90T,Music M90T,F,01:00 pm,03:50 pm,SMB,B00429,"Winkle, M.D.; Risigari Gai Lopez",
14956,MUSC 102A,Music 102A,W,11:00 am,12:50 pm,SMB,01345,"Depinna, N.; Uhm, S.","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
14957,MUSC 102A,Music 102A,M,11:00 am,11:50 am,SMB,01345,"Depinna, N.; Uhm, S.","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
