index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
10597,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"He, X.",
10598,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Huang, Y.",
10599,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Iyer, S.S.",
10600,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,The Staff,
10601,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Kaner, R.B.",
10602,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Kodambaka, S.",
10603,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Li, X.",
10604,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Marian, J.",
10605,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Mosleh, A.",
10606,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Pei, Q.",
10607,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Raman, A.P.",
10608,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Sant, G.",
10609,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Streit, D.",
10610,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Tolbert, S.H.",
10611,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Wang, K.L.",
10612,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Wang, Y.",
10613,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Weiss, P.S.",
10614,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Wu, B.M.",
