course_id,full_course_id
ASIAN 599,Asian Languages and Cultures 599
CHIN 2,Asian Languages and Cultures 2
CHIN 2A,Asian Languages and Cultures 2A
CHIN 5,Asian Languages and Cultures 5
CHIN 5A,Asian Languages and Cultures 5A
CHIN 40,Asian Languages and Cultures 40
CHIN 100B,Asian Languages and Cultures 100B
CHIN 101B,Asian Languages and Cultures 101B
CHIN 102B,Asian Languages and Cultures 102B
CHIN 110B,Asian Languages and Cultures 110B
CHIN C120,Asian Languages and Cultures C120
CHIN C138,Asian Languages and Cultures C138
CHIN C150B,Asian Languages and Cultures C150B
CHIN 191B,Asian Languages and Cultures 191B
CHIN 224A,Asian Languages and Cultures 224A
CHIN C238,Asian Languages and Cultures C238
CHIN C250B,Asian Languages and Cultures C250B
CHIN 285A,Asian Languages and Cultures 285A
FILIPNO 2,Asian Languages and Cultures 2
FILIPNO 109,Asian Languages and Cultures 109
HIN-URD 2,Asian Languages and Cultures 2
HIN-URD 100B,Asian Languages and Cultures 100B
INDO 2,Asian Languages and Cultures 2
INDO 5,Asian Languages and Cultures 5
INDO 100B,Asian Languages and Cultures 100B
JAPAN 2,Asian Languages and Cultures 2
JAPAN 5,Asian Languages and Cultures 5
JAPAN 70,Asian Languages and Cultures 70
JAPAN 100B,Asian Languages and Cultures 100B
JAPAN 101B,Asian Languages and Cultures 101B
JAPAN 105A,Asian Languages and Cultures 105A
JAPAN 130A,Asian Languages and Cultures 130A
JAPAN 154,Asian Languages and Cultures 154
JAPAN C159,Asian Languages and Cultures C159
JAPAN 170,Asian Languages and Cultures 170
JAPAN 191B,Asian Languages and Cultures 191B
JAPAN 297A,Asian Languages and Cultures 297A
KOREA 2,Asian Languages and Cultures 2
KOREA 2A,Asian Languages and Cultures 2A
KOREA 5,Asian Languages and Cultures 5
KOREA 50,Asian Languages and Cultures 50
KOREA 100B,Asian Languages and Cultures 100B
KOREA 101B,Asian Languages and Cultures 101B
KOREA 102B,Asian Languages and Cultures 102B
KOREA 104A,Asian Languages and Cultures 104A
KOREA 106SL,Asian Languages and Cultures 106SL
KOREA CM120,Asian Languages and Cultures CM120
KOREA 172,Asian Languages and Cultures 172
KOREA 180C,Asian Languages and Cultures 180C
S ASIAN 19,Asian Languages and Cultures 19
S ASIAN 110B,Asian Languages and Cultures 110B
S ASIAN 170,Asian Languages and Cultures 170
SEASIAN C120,Asian Languages and Cultures C120
THAI 2,Asian Languages and Cultures 2
THAI 5,Asian Languages and Cultures 5
THAI 100B,Asian Languages and Cultures 100B
VIETMSE 2,Asian Languages and Cultures 2
VIETMSE 2A,Asian Languages and Cultures 2A
VIETMSE 5,Asian Languages and Cultures 5
VIETMSE 100B,Asian Languages and Cultures 100B
VIETMSE 170,Asian Languages and Cultures 170
BIOENGR 99,Bioengineering 99
BIOENGR C101,Bioengineering C101
BIOENGR C107,Bioengineering C107
BIOENGR 121,Bioengineering 121
BIOENGR 122,Bioengineering 122
BIOENGR C139A,Bioengineering C139A
BIOENGR CM140,Bioengineering CM140
BIOENGR M153,Bioengineering M153
BIOENGR C155,Bioengineering C155
BIOENGR 167L,Bioengineering 167L
BIOENGR 177B,Bioengineering 177B
