course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
ASIAN 198B,Asian Languages and Cultures 198B,"{'type': 'AND', 'conditions': ['Asian 198A']}",VAR,12:00 am,12:00 am,,,"Paredes, O."
ASIAN 204B,Asian Languages and Cultures 204B,"{'type': 'AND', 'conditions': ['Asian 204A']}",W,03:00 pm,05:50 pm,BUNCHE,02174,"Kaneyasu, M."
CHIN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Chinese 1']}",TR,09:30 am,10:45 am,ROYCE,00154,"Chief, L."
CHIN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Chinese 1']}",TR,11:00 am,12:15 pm,ROYCE,00156,"Yao, Y."
CHIN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Chinese 1']}",TR,12:30 pm,01:45 pm,ROYCE,00156,"Yao, Y."
CHIN 2A,Asian Languages and Cultures 2A,"{'type': 'AND', 'conditions': ['Chinese 1A']}",TR,09:30 am,10:45 am,HAINES,A00020,"Sun, X."
CHIN 2A,Asian Languages and Cultures 2A,"{'type': 'AND', 'conditions': ['Chinese 1A']}",TR,11:00 am,12:15 pm,HAINES,A00020,"Sun, X."
CHIN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Chinese 4']}",TR,11:00 am,12:15 pm,ROYCE,00148,"Shen, Y."
CHIN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Chinese 4']}",F,09:00 am,09:50 am,ONLINE,00000LA,"Shen, Y."
CHIN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Chinese 4']}",TR,12:30 pm,01:45 pm,ROYCE,00148,"Shen, Y."
CHIN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Chinese 4']}",F,10:00 am,10:50 am,ONLINE,00000LA,"Shen, Y."
CHIN 5A,Asian Languages and Cultures 5A,"{'type': 'AND', 'conditions': ['Chinese 4A']}",TR,12:30 pm,01:45 pm,HAINES,A00028,"Sun, X."
CHIN 5A,Asian Languages and Cultures 5A,"{'type': 'AND', 'conditions': ['Chinese 4A']}",F,12:00 pm,12:50 pm,ONLINE,00000LA,"Sun, X."
CHIN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Chinese 100A']}",TR,09:30 am,10:45 am,BUNCHE,03117,"Smith, M.M."
CHIN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Chinese 100A']}",TR,11:00 am,12:15 pm,BUNCHE,03123,"Smith, M.M."
CHIN 101B,Asian Languages and Cultures 101B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Chinese 100C', 'Chinese 100F', 'Chinese 100I']}]}",TR,12:30 pm,01:45 pm,PUB AFF,02317,"Chief, L."
CHIN 102B,Asian Languages and Cultures 102B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Chinese 6', 'Chinese 10']}]}",TR,09:30 am,10:45 am,ROYCE,00148,"Shen, Y."
CHIN 110B,Asian Languages and Cultures 110B,"{'type': 'AND', 'conditions': ['Chinese 110A']}",TR,11:00 am,12:15 pm,HAINES,A00044,"Wu, Y."
FILIPNO 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Filipino 1']}",TR,08:00 am,09:15 am,PUB AFF,01234,"Domingo, N.P."
